Ac	Activities
Ac_25_30_07	Biology	Ac_25_30
Ac_25_30_10	Bioscience researching	Ac_25_30
Ac_25_30_13	Chemistry	Ac_25_30
Ac_25_30_14	Clean activities	Ac_25_30
Ac_25_30_15	Clinical biochemistry	Ac_25_30
Ac_25_30_16	Clinical microbiology	Ac_25_30
Ac_25_30_17	Clinical pathology	Ac_25_30
Ac_25_30_19	Containment	Ac_25_30
Ac_25_30_21	Dark room activities	Ac_25_30
Ac_25_30_22	Dentistry	Ac_25_30
Ac_25_30_26	Earth sciences	Ac_25_30
Ac_25_30_27	Engineering	Ac_25_30
Ac_25_30_28	Experiment controlling	Ac_25_30
Ac_25_30_29	Flow cytometry	Ac_25_30
Ac_25_30_30	Food testing	Ac_25_30
Ac_25_30_31	Forensics	Ac_25_30
Ac_25_30_33	Geology	Ac_25_30
Ac_25_30_36	Hyperbaric activities	Ac_25_30
Ac_25_30_42	Instrument activities	Ac_25_30
Ac_25_30_46	Laboratory cold activities	Ac_25_30
Ac_25_30_47	Laboratory warm activities	Ac_25_30
Ac_25_30_50	Material testing	Ac_25_30
Ac_25_30_66	Physics	Ac_25_30
Ac_25_30_68	Psychology researching	Ac_25_30
Ac_25_30_70	Radiation shielded activities	Ac_25_30
Ac_25_30_78	Seismograph activities	Ac_25_30
Ac_25_30_85	Sterilising	Ac_25_30
Ac_25_30_89	Tissue culturing	Ac_25_30
Ac_25_30_90	Toxicology	Ac_25_30
Ac_25_40	Design activities	Ac_25
Ac_25_40_13	Ceramics	Ac_25_40
Ac_25_40_15	Craft activities	Ac_25_40
Ac_25_40_21	Designing	Ac_25_40
Ac_25_40_24	Drawing	Ac_25_40
Ac_25_40_60	Painting	Ac_25_40
Ac_25_40_88	Technical drawing	Ac_25_40
Ac_25_50	Exhibition activities	Ac_25
Ac_25_50_04	Art exhibiting	Ac_25_50
Ac_25_50_15	Collection exhibiting	Ac_25_50
Ac_25_50_16	Conservation of art and artifacts	Ac_25_50
Ac_25_50_21	Dioramas	Ac_25_50
Ac_25_50_29	Fauna exhibiting	Ac_25_50
Ac_25_50_31	Flora exhibiting	Ac_25_50
Ac_25_50_65	Projecting representations of the night sky	Ac_25_50
Ac_25_50_73	Sculpture exhibiting	Ac_25_50
Ac_25_50_87	Temporary exhibiting	Ac_25_50
Ac_25_50_94	Viewing	Ac_25_50
Ac_25_70	Information activities	Ac_25
Ac_25_70_04	Archiving	Ac_25_70
Ac_25_70_05	Audio-visual studying	Ac_25_70
